Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,"GRI Sector St,ard Ref. No."
,GRI 2: General Disclosures 2021,2-1 Organisational details,"8-10, 12",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,6,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",6,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,49,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,This report has not been externally assured.,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","14, 15",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,58-59,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,58,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,88,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,85-86,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,88,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,85-86,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,85-86,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,93,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,98,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,95,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,94,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,94,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,89,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,89,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,89,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,"3-5, 17, 18, 26-29, 33-35",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,97,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,97,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,67,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,19-21,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,97,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,18,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,19-21,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,66,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,18,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,18,,,,
Corporate Governance,GRI 3: Material Topics 2021,3-3 Management of material topics,97,,,,"11.19.1, 11.20.1, 11.22.1"
Corporate Governance,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",97,,,,11.19.2
Corporate Governance,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,98,,,,11.20.2
Corporate Governance,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,97,,,,11.20.3
Corporate Governance,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,97,,,,11.20.4
Corporate Governance,GRI 415: Public Policy 2016,415-1 Political contributions,There were no political contributions by the Company,,,,11.22.2
"Transparent, Accurate and Responsible Reporting",GRI 3: Material Topics 2021,3-3 Management of material topics,"19, 32",,,,11.21.1
"Transparent, Accurate and Responsible Reporting",GRI 201: Economic Performance 2016,201-4 Financial assistance received from the government,No financial assistance received from the government,,,,11.21.3
"Transparent, Accurate and Responsible Reporting",GRI 207: Tax 2019,207-1 Approach to tax,32,,,,11.21.4
"Transparent, Accurate and Responsible Reporting",GRI 207: Tax 2019,"207-2 Tax governance, control, and risk management",32,,,,11.21.5
"Transparent, Accurate and Responsible Reporting",GRI 207: Tax 2019,207-3 Stakeholder engagement and management of concerns related to tax,19-21,,,,11.21.6
"Transparent, Accurate and Responsible Reporting",GRI 207: Tax 2019,207-4 Country-by-country reporting,Shell Pilipinas only operates within the Philippine boundaries.,,,,11.21.7
Supply Chain Management,GRI 3: Material Topics 2021,3-3 Management of material topics,96,,,,11.10.1
Supply Chain Management,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,96,,,,11.10.8
Supply Chain Management,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,96,,,,11.10.9
Economic Performance,GRI 3: Material Topics 2021,3-3 Management of material topics,"32, 48, 76",,,,"11.11.1, 11.2.1, 11.14.1, 11.21.1"
Economic Performance,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,30-31,,,,"11.14.2 , 11.21.2"
Economic Performance,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,48,,,,11.2.2
Economic Performance,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,"To ensure that there is a robust leadership pipeline, Pilipinas Shell hires the best Filipino talent, here and abroad, and promotes from the ranks.",,,,"11.11.2 , 11.14.3"
Economic Performance,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,31,,,,11.14.4
Economic Performance,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,31,,,,11.14.5
Economic Performance,GRI 204: Procurement Practices 2016,204-1 Proportion of Spending on local suppliers,,204-1-a to 204-1-c,Information unavailable,"The Company has not yet disclosed its proportion of spending on local suppliers because this information is not centrally tracked. Currently, there is no standardized system in place to collect and consolidate data on procurement spending by supplier origin. Efforts are underway to enhance supplier data management, and the Company is evaluating processes to improve tracking mechanisms.",11.14.6
Employee Management,GRI 3: Material Topics 2021,3-3 Management of material topics,"58, 60, 62, 66",,,,"11.7.1, 11.10.1, 1.11.1, 11.12.1,  11.13.1"
Employee Management,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,"There is no “standard” minimum number of weeks as engagement plans would depend on the change and the impact of the change on employees, but an engagement will be definitely be conducted prior to any change",,,,"11.7.2 , 11.10.5"
Employee Management,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,61,,,,11.10.2
Employee Management,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,62-63,,,,11.10.3
Employee Management,GRI 401: Employment 2016,401-3 Parental leave,63,,,,"11.10.4 , 11.11.3"
Employee Management,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,68,,,,"11.10.6 , 11.11.4"
Employee Management,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance program,68,,,,"11.10.7 , 11.7.3"
Employee Management,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,69,,,,
Employee Management,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,"59, 85",,,,11.11.5
Employee Management,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,We do not differentiate in salary based on gender,,,,11.11.6
Employee Management,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,No incidents of discriminations were reported,,,,11.11.7
Employee Management,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,No significant risk for incident of forced or compulsory labor,,,,11.12.2
Employee Management,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,66,,,,11.13.2
Local Community Development,GRI 3: Material Topics 2021,3-3 Management of material topics,73,,,,"11.17.1 , 11.15.1"
Local Community Development,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,No incidents of violations involving rights of indigenous peoples,,,,11.17.2
Local Community Development,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",73,,,,11.15.2
Local Community Development,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative on local communities,73,,,,11.15.3
Asset Integrity and Process Safety,GRI 3: Material Topics 2021,3-3 Management of material topics,70,,,,"11.9.1 , 11.18.1"
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"70, 71",,,,11.9.2
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation","70, 71",,,,11.9.3
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,"65, 71",,,,11.9.4
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety",70,,,,11.9.5
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,70,,,,11.9.6
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,"65, 71",,,,11.9.7
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,70,,,,11.9.8
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,100% of workers are covered by an occupational health and safety management system,,,,11.9.9
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,72,,,,11.9.10
Asset Integrity and Process Safety,GRI 403: Occupational Health and Safety 2018,403-10 Worker-related ill health,72,,,,11.9.11
Asset Integrity and Process Safety,GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,Security services are outsourced to third party and they are managing the training of security personnel deployed at Shell Pilipinas,,,,11.18.2
"Social Impact of operations on host communities, business partners, and local government",GRI 3: Material Topics 2021,3-3 Management of material topics,73,,,,
Social Investment,GRI 3: Material Topics 2021,3-3 Management of material topics,73,,,,
Energy Transition,GRI 3: Material Topics 2021,3-3 Management of material topics,49,,,,"11.1.1, 11.2.1 , 11.3.1"
Energy Transition,GRI 302: Energy 2016,302-1 Energy consumption within the organisation,49,,,,11.1.2
Energy Transition,GRI 302: Energy 2016,302-2 Energy consumption outside of the organisation,,302-2-a to 302-2-c,Not applicable,Shell Pilipinas does not measure its energy consumption outside the organization.,11.1.3
Energy Transition,GRI 302: Energy 2016,302-3 Energy intensity,49,,,,11.1.4
Energy Transition,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,49,,,,11.1.5
Energy Transition,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,49,,,,11.1.6
Energy Transition,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,,305-3-a to 305-3-g,Information unavailable,Shell Pilipinas has not yet disclosed Scope 3 emissions due to the absence of a centralized tracking system and challenges in obtaining reliable data from third-party suppliers and customers. The company is evaluating methodologies to estimate these emissions and enhance supplier engagement. A structured approach to Scope 3 accounting is expected in the next few years.,11.1.7
Energy Transition,GRI 305: Emissions 2016,305-4 GHG emissions intensity,49,,,,11.1.8
Energy Transition,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,49,,,,11.2.3
Energy Transition,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,Not applicable,"Since 2022, Shell Pilipinas are no longer emitting nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions in Tabangao",11.3.2
Environmental Compliance & Impact including Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,"53, 54, 55",,,,"11.4.1, 11.5.1, 11.6.1 , 11.8.1"
Environmental Compliance & Impact including Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,Not applicable,"There are no operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",11.4.2
Environmental Compliance & Impact including Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",54,,,,11.4.3
Environmental Compliance & Impact including Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,,,Not applicable,There are no habitats protected and restored,11.4.4
Environmental Compliance & Impact including Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,No known IUCN Red List species and national conservation list species with habitats in areas affected by operations,,,,11.4.5
Environmental Compliance & Impact including Biodiversity,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,55,,,,11.5.2
Environmental Compliance & Impact including Biodiversity,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,55,,,,11.5.3
Environmental Compliance & Impact including Biodiversity,GRI 306: Waste 2020,306-3 Waste generated,55,,,,11.5.4
Environmental Compliance & Impact including Biodiversity,GRI 306: Waste 2020,306-4 Waste diverted from disposal,55,,,,11.5.5
Environmental Compliance & Impact including Biodiversity,GRI 306: Waste 2020,306-5 Waste directed to disposal,55,,,,11.5.6
Environmental Compliance & Impact including Biodiversity,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,53,,,,11.6.2
Environmental Compliance & Impact including Biodiversity,GRI 303: Water and Effluents 2018,303-2 Management of water discharge related impacts,53,,,,11.6.3
Environmental Compliance & Impact including Biodiversity,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,53,,,,11.6.4
Environmental Compliance & Impact including Biodiversity,GRI 303: Water and Effluents 2018,303-4 Water discharge,,,Information unavailable,"Shell Pilipinas has not yet disclosed water discharge data due to limitations in data availability across its operations. Current monitoring systems do not comprehensively capture discharge volumes and quality. The Company is evaluating methodologies to enhance data collection and reporting, ensuring alignment with regulatory and industry standards. Improvements in water discharge tracking are expected within the next few years.",11.6.5
Environmental Compliance & Impact including Biodiversity,GRI 303: Water and Effluents 2018,303-5 Water consumption,53,,,,11.6.6
